穴名	所属经络	定位	功效
白环俞	足太阳膀胱经	在骶部，当骶正中嵴旁开1.5寸，平第4骶后孔	调理下焦，通利二便，调经止带
百会	督脉	在头部，当前发际正中直上5寸，或两耳尖连线中点	升阳举陷，醒脑开窍，安神定志
膀胱俞	足太阳膀胱经	在骶部，当骶正中嵴旁开1.5寸，平第2骶后孔	调理膀胱，通利小便，强腰脊
胞肓	足太阳膀胱经	在臀部，平第2骶后孔，骶正中嵴旁开3寸	调理胞宫，通调冲任，强腰脊
臂臑	手阳明大肠经	在臂外侧，三角肌止点处，曲池与肩髃连线上，曲池上7寸	清热通络，疏经活络，利肩臂
秉风	手太阳小肠经	在肩胛部，岗上窝中央，天宗直上，举臂有凹陷	疏风活络，舒筋止痛
不容	足阳明胃经	在上腹部，当脐中上6寸，距前正中线2寸	和胃降逆，理气消胀
步廊	足少阴肾经	在胸部，当第5肋间隙，前正中线旁开2寸	宽胸理气，降逆止咳
承筋	足太阳膀胱经	在小腿后面，委中与承山连线上，腓肠肌肌腹中央，委中下5寸	舒筋活络，强腰脊，调理下焦
承满	足阳明胃经	在上腹部，当脐中上5寸，距前正中线2寸	和胃降逆，理气消胀
承山	足太阳膀胱经	在小腿后面正中，委中与昆仑之间，腓肠肌肌腹下出现尖角凹陷处	舒筋活络，理气止痛，调理痔疾
尺泽	手太阴肺经	在肘横纹中，肱二头肌腱桡侧凹陷处	清肺热，降逆气，和营理血
冲门	足太阴脾经	在腹股沟外侧，距耻骨联合上缘中点3.5寸，髂外动脉搏动处外侧	健脾渗湿，理气活血
次髎	足太阳膀胱经	在骶部，当髂后上棘内下方，正对第2骶后孔	调理下焦，通利二便，调经止带
大包	足太阴脾经	在侧胸部，腋中线上，当第6肋间隙处	统血健脾，宽胸理气
大肠俞	足太阳膀胱经	在腰部，当第4腰椎棘突下，旁开1.5寸	调理大肠，通调腑气，强腰脊
大赫	足少阴肾经	在下腹部，当脐中下4寸，前正中线旁开0.5寸	益肾助阳，通调冲任，调理下焦
大横	足太阴脾经	在腹中部，与脐平，距脐中4寸	健脾化湿，理气止痛
大巨	足阳明胃经	在下腹部，当脐中下2寸，距前正中线2寸	调肠胃，通调腑气，理气止痛
大杼	足太阳膀胱经	在背部，当第1胸椎棘突下，旁开1.5寸	疏风散寒，宣肺止咳，强肌表
大椎	督脉	在后正中线上，第7颈椎棘突下凹陷中	解表清热，疏风散寒，通调诸阳
带脉	足少阳胆经	在侧腹部，章门下1.8寸，第11肋骨游离端下方垂线与脐水平线交点	调经止带，约束诸经，理气止痛
胆俞	足太阳膀胱经	在背部，当第10胸椎棘突下，旁开1.5寸	利胆疏肝，和胃降逆，清化热邪
定喘	经外奇穴	在背部，第7颈椎棘突下，后正中线旁开0.5寸	止咳平喘，宣肺化痰，通调气机
督俞	足太阳膀胱经	在背部，当第6胸椎棘突下，旁开1.5寸	宽胸降逆，宁心安神，调理气机
犊鼻	足阳明胃经	屈膝，在膝部，髌骨与髌韧带外侧凹陷中	通经活络，消肿止痛，疏利关节
二间	手阳明大肠经	微握拳，当手食指本节前桡侧凹陷中	清热解表，通调腑气，利咽消肿
肺俞	足太阳膀胱经	在背部，当第3胸椎棘突下，旁开1.5寸	调补肺气，止咳平喘，疏风解表
丰隆	足阳明胃经	在小腿前外侧，外踝尖上8寸，条口外，距胫骨前缘二横指	化痰开窍，清热通络，和胃降逆
风府	督脉	在项部，当后发际正中直上1寸，枕外隆凸直下，两侧斜方肌之间凹陷	疏风解表，清头明目，通利官窍
风门	足太阳膀胱经	在背部，当第2胸椎棘突下，旁开1.5寸	疏风解表，宣肺止咳，强肌表
风市	足少阳胆经	在大腿外侧部中线上，腘横纹上7寸，或直立垂手中指尖处	疏风活络，强筋壮骨，消肿止痛
伏兔	足阳明胃经	在大腿前面，髂前上棘与髌底外侧端连线上，髌底上6寸	祛风除湿，通经活络，消肿止痛
浮郄	足太阳膀胱经	在腘横纹外侧端，委阳上1寸，股二头肌腱内侧	舒筋活络，清化热邪，调理下焦
府舍	足太阴脾经	在下腹部，当脐中下4寸，冲门上方0.7寸，距前正中线4寸	健脾理气，散结止痛，调理下焦
附分	足太阳膀胱经	在背部，当第2胸椎棘突下，旁开3寸	疏风散寒，强肌表，舒筋活络
腹哀	足太阴脾经	在上腹部，当脐中上3寸，距前正中线4寸	健脾和胃，理气止痛
腹结	足太阴脾经	大横下1.3寸，距前正中线4寸	健脾理气，散结止痛
腹通谷	足少阴肾经	在上腹部，当脐中上5寸，前正中线旁开0.5寸	和胃降逆，理气消胀，调理下焦
肝俞	足太阳膀胱经	在背部，当第9胸椎棘突下，旁开1.5寸	疏肝利胆，明目，理气止痛
膏肓	足太阳膀胱经	在背部，当第4胸椎棘突下，旁开3寸	补虚益损，宣肺止咳，调理虚劳
膈关	足太阳膀胱经	在背部，当第7胸椎棘突下，旁开3寸	宽胸降逆，理气和胃，调理气机
膈俞	足太阳膀胱经	在背部，当第7胸椎棘突下，旁开1.5寸	宽胸降逆，和血理气，调理气机
关门	足阳明胃经	在上腹部，当脐中上3寸，距前正中线2寸	调理肠胃，通调腑气，理气止痛
关元	任脉	在下腹部，前正中线上，当脐中下3寸	培元固本，补益下焦，回阳固脱
关元俞	足太阳膀胱经	在腰部，当第5腰椎棘突下，旁开1.5寸	调理下焦，强腰脊，通调冲任
归来	足阳明胃经	在下腹部，当脐中下4寸，距前正中线2寸	调理冲任，通调下焦，理气止痛
